epoch,train_loss,val_loss,val_macro_f1,val_accuracy,per_class_f1,lr
0,1.0821571134795707,0.7122833804408116,0.8306,0.8521,"{'cloudy': 0.8491, 'rainy': 0.7736, 'snowy': 0.8187, 'sunny': 0.8811}",0.0001
1,0.8055626525625077,0.673691092587229,0.8644,0.8739,"{'cloudy': 0.8629, 'rainy': 0.8173, 'snowy': 0.8803, 'sunny': 0.8973}",9.988946049184609e-05
2,0.749518833912824,0.6572759044704153,0.8719,0.8831,"{'cloudy': 0.8772, 'rainy': 0.8398, 'snowy': 0.8658, 'sunny': 0.9045}",9.955833566366162e-05
3,0.7183485611310023,0.6374081871402797,0.8841,0.8898,"{'cloudy': 0.8764, 'rainy': 0.8509, 'snowy': 0.8983, 'sunny': 0.9106}",9.900810439931104e-05
4,0.6980024131985219,0.6593616458017435,0.8704,0.8753,"{'cloudy': 0.8662, 'rainy': 0.8431, 'snowy': 0.8796, 'sunny': 0.8928}",9.824122416519163e-05
5,0.683189209196504,0.6410572889135845,0.8833,0.8864,"{'cloudy': 0.8692, 'rainy': 0.8493, 'snowy': 0.9069, 'sunny': 0.9078}",9.726112003459197e-05
6,0.6709889771820474,0.6360184786035054,0.8835,0.8886,"{'cloudy': 0.8752, 'rainy': 0.8461, 'snowy': 0.9034, 'sunny': 0.9092}",9.607216939048322e-05
7,0.6472873495105554,0.6617787658278622,0.8719,0.8706,"{'cloudy': 0.8442, 'rainy': 0.8497, 'snowy': 0.9024, 'sunny': 0.8913}",9.467968237506411e-05
8,0.6318055416241345,0.6586429214299615,0.874,0.8782,"{'cloudy': 0.8645, 'rainy': 0.8313, 'snowy': 0.903, 'sunny': 0.8972}",9.308987817337689e-05
9,0.6242960904487639,0.6503364648391952,0.8775,0.8838,"{'cloudy': 0.8707, 'rainy': 0.8445, 'snowy': 0.8898, 'sunny': 0.9049}",9.130985723691713e-05
10,0.615916465171843,0.6540106735122737,0.8829,0.8819,"{'cloudy': 0.8614, 'rainy': 0.8553, 'snowy': 0.9146, 'sunny': 0.9003}",8.93475695712937e-05
11,0.5998146899979377,0.6587244970584983,0.8797,0.8822,"{'cloudy': 0.8729, 'rainy': 0.8416, 'snowy': 0.9077, 'sunny': 0.8967}",8.72117792295739e-05
12,0.5891398495141091,0.6526978740941233,0.8802,0.8815,"{'cloudy': 0.8622, 'rainy': 0.8532, 'snowy': 0.9045, 'sunny': 0.9009}",8.491202516989479e-05
13,0.5761201545992731,0.6535946762383874,0.8798,0.8846,"{'cloudy': 0.8736, 'rainy': 0.8417, 'snowy': 0.9011, 'sunny': 0.9029}",8.245857865216071e-05
