epoch,train_loss,val_loss,val_macro_f1,val_accuracy,per_class_f1,lr
0,0.6281703816992896,0.3068010170093697,0.8242,0.8631,"{'cloudy': 0.8538, 'rainy': 0.6822, 'snowy': 0.8444, 'sunny': 0.9165}",0.0001
1,0.3309796053029242,0.21520290993477986,0.8957,0.9129,"{'cloudy': 0.9103, 'rainy': 0.8676, 'snowy': 0.8689, 'sunny': 0.9362}",9.988946049184609e-05
2,0.25877607940208347,0.26134995144346485,0.8538,0.8893,"{'cloudy': 0.8868, 'rainy': 0.729, 'snowy': 0.875, 'sunny': 0.9247}",9.955833566366162e-05
3,0.18745838747847648,0.20227532408645618,0.9133,0.9281,"{'cloudy': 0.9273, 'rainy': 0.8844, 'snowy': 0.8947, 'sunny': 0.947}",9.900810439931104e-05
4,0.15267972158534185,0.2940581299626501,0.904,0.9087,"{'cloudy': 0.8963, 'rainy': 0.8636, 'snowy': 0.9291, 'sunny': 0.927}",9.824122416519163e-05
5,0.13522485842307408,0.22259581877353965,0.9127,0.917,"{'cloudy': 0.9112, 'rainy': 0.8923, 'snowy': 0.9194, 'sunny': 0.9277}",9.726112003459197e-05
6,0.0948159906126204,0.29895756359252595,0.8938,0.9115,"{'cloudy': 0.9094, 'rainy': 0.8142, 'snowy': 0.9194, 'sunny': 0.9324}",9.607216939048322e-05
7,0.08485327008224669,0.330852761277524,0.9163,0.9198,"{'cloudy': 0.9142, 'rainy': 0.8906, 'snowy': 0.9298, 'sunny': 0.9307}",9.467968237506411e-05
8,0.0708035195512431,0.3226090849683438,0.918,0.9156,"{'cloudy': 0.907, 'rainy': 0.8943, 'snowy': 0.9483, 'sunny': 0.9223}",9.308987817337689e-05
9,0.044381223157757804,0.419998514553964,0.9124,0.9142,"{'cloudy': 0.9064, 'rainy': 0.8841, 'snowy': 0.9333, 'sunny': 0.9257}",9.130985723691713e-05
10,0.045562321373394554,0.47588095894784405,0.9021,0.9198,"{'cloudy': 0.919, 'rainy': 0.8707, 'snowy': 0.875, 'sunny': 0.9435}",8.93475695712937e-05
11,0.04777584161077227,0.7020895485968693,0.8775,0.9032,"{'cloudy': 0.9176, 'rainy': 0.843, 'snowy': 0.8321, 'sunny': 0.9174}",8.72117792295739e-05
12,0.03897145156349455,0.5605756880965364,0.9019,0.9101,"{'cloudy': 0.9057, 'rainy': 0.8696, 'snowy': 0.9077, 'sunny': 0.9247}",8.491202516989479e-05
13,0.037525004999978205,0.8970410579818671,0.9009,0.9059,"{'cloudy': 0.8916, 'rainy': 0.8489, 'snowy': 0.9365, 'sunny': 0.9267}",8.245857865216071e-05
14,0.03296943633329301,0.5119980390532965,0.9301,0.9322,"{'cloudy': 0.9215, 'rainy': 0.8921, 'snowy': 0.96, 'sunny': 0.9468}",7.986239736410308e-05
15,0.023981572900499615,0.5255212369662638,0.9211,0.9239,"{'cloudy': 0.9194, 'rainy': 0.8905, 'snowy': 0.9412, 'sunny': 0.9333}",7.713507648158695e-05
16,0.01524818025174595,0.6326425376421115,0.9245,0.9267,"{'cloudy': 0.9221, 'rainy': 0.8971, 'snowy': 0.944, 'sunny': 0.9347}",7.428879688174084e-05
17,0.022366913975704283,0.605404697960425,0.9199,0.9281,"{'cloudy': 0.9268, 'rainy': 0.8857, 'snowy': 0.9268, 'sunny': 0.9401}",7.133627074020258e-05
18,0.01909383794381505,0.6486331476194042,0.9169,0.9212,"{'cloudy': 0.9145, 'rainy': 0.9008, 'snowy': 0.9194, 'sunny': 0.9331}",6.829068475545687e-05
19,0.0067587621510028836,0.7307860003520565,0.9171,0.9308,"{'cloudy': 0.926, 'rainy': 0.85, 'snowy': 0.9412, 'sunny': 0.951}",6.516564125383888e-05
20,0.018505508239780154,0.8176855555697609,0.904,0.9115,"{'cloudy': 0.9079, 'rainy': 0.8769, 'snowy': 0.9077, 'sunny': 0.9236}",6.197509743824264e-05
21,0.01184975423273586,0.920058426714142,0.8952,0.9129,"{'cloudy': 0.9121, 'rainy': 0.8025, 'snowy': 0.9231, 'sunny': 0.9433}",5.873330305186492e-05
22,0.01812243273570424,0.8024541771298376,0.9111,0.917,"{'cloudy': 0.906, 'rainy': 0.8497, 'snowy': 0.95, 'sunny': 0.9388}",5.545473673539287e-05
23,0.011569440329358692,0.5585034600498266,0.9288,0.9336,"{'cloudy': 0.9268, 'rainy': 0.8732, 'snowy': 0.9661, 'sunny': 0.9492}",5.2154041361879886e-05
24,0.00977208639184634,0.6588609456655334,0.9203,0.9267,"{'cloudy': 0.9251, 'rainy': 0.8591, 'snowy': 0.9573, 'sunny': 0.9399}",4.884595863812011e-05
