epoch,train_loss,val_loss,val_macro_f1,val_accuracy,per_class_f1,lr
0,1.0077967000098282,0.9628336647553231,0.8538,0.8618,"{'cloudy': 0.848, 'rainy': 0.8117, 'snowy': 0.87, 'sunny': 0.8855}",0.0001
1,0.7372450323159251,0.6808066083424127,0.8736,0.8779,"{'cloudy': 0.864, 'rainy': 0.8384, 'snowy': 0.8949, 'sunny': 0.8969}",9.988946049184609e-05
2,0.6977206765472209,0.6808727726117888,0.876,0.885,"{'cloudy': 0.8749, 'rainy': 0.8434, 'snowy': 0.8795, 'sunny': 0.9062}",9.955833566366162e-05
3,0.6632308891970848,0.6882164932009,0.8816,0.8848,"{'cloudy': 0.871, 'rainy': 0.851, 'snowy': 0.9017, 'sunny': 0.9027}",9.900810439931104e-05
4,0.6464677786192513,0.7099718264679411,0.8771,0.8798,"{'cloudy': 0.8721, 'rainy': 0.8354, 'snowy': 0.9065, 'sunny': 0.8945}",9.824122416519163e-05
5,0.6245456539632703,0.6342831916773497,0.8966,0.8978,"{'cloudy': 0.8872, 'rainy': 0.8649, 'snowy': 0.9233, 'sunny': 0.9111}",9.726112003459197e-05
6,0.6063311387830814,0.6440162716516807,0.8882,0.8893,"{'cloudy': 0.872, 'rainy': 0.8613, 'snowy': 0.9124, 'sunny': 0.9069}",9.607216939048322e-05
7,0.5848375148646279,0.6644557078382862,0.8833,0.8864,"{'cloudy': 0.8696, 'rainy': 0.8457, 'snowy': 0.9105, 'sunny': 0.9075}",9.467968237506411e-05
8,0.567098253353467,0.6486069729079061,0.8832,0.8848,"{'cloudy': 0.8676, 'rainy': 0.8476, 'snowy': 0.9135, 'sunny': 0.9041}",9.308987817337689e-05
9,0.554551076073157,0.6498765705236748,0.8821,0.8846,"{'cloudy': 0.8673, 'rainy': 0.8502, 'snowy': 0.9062, 'sunny': 0.9049}",9.130985723691713e-05
10,0.5387798889961533,0.6722568433676193,0.8783,0.8751,"{'cloudy': 0.8508, 'rainy': 0.8581, 'snowy': 0.9123, 'sunny': 0.8918}",8.93475695712937e-05
11,0.5293651980139004,0.6648522441956535,0.8832,0.8843,"{'cloudy': 0.8706, 'rainy': 0.8491, 'snowy': 0.9129, 'sunny': 0.9002}",8.72117792295739e-05
12,0.5205991626239095,0.6653612340564159,0.8788,0.8786,"{'cloudy': 0.8611, 'rainy': 0.8401, 'snowy': 0.918, 'sunny': 0.8962}",8.491202516989479e-05
13,0.5112699805103781,0.6546376498777475,0.8878,0.8898,"{'cloudy': 0.8769, 'rainy': 0.847, 'snowy': 0.9211, 'sunny': 0.9064}",8.245857865216071e-05
14,0.503796578246831,0.6493627242187956,0.8906,0.8919,"{'cloudy': 0.8777, 'rainy': 0.8591, 'snowy': 0.9176, 'sunny': 0.908}",7.986239736410308e-05
15,0.4994327328504265,0.6564762427735684,0.8829,0.8876,"{'cloudy': 0.8767, 'rainy': 0.8406, 'snowy': 0.9074, 'sunny': 0.9067}",7.713507648158695e-05
