epoch,train_loss,val_loss,val_macro_f1,val_accuracy,per_class_f1,lr
0,0.4651632968838233,0.297445174831813,0.8861,0.8924,"{'cloudy': 0.8844, 'rainy': 0.8478, 'snowy': 0.9037, 'sunny': 0.9084}",0.0001
1,0.32272709689087165,0.2552743405313756,0.9064,0.9054,"{'cloudy': 0.8959, 'rainy': 0.8811, 'snowy': 0.9342, 'sunny': 0.9146}",9.988946049184609e-05
2,0.2669203415498901,0.28688606568804725,0.8842,0.8886,"{'cloudy': 0.8768, 'rainy': 0.8697, 'snowy': 0.8858, 'sunny': 0.9046}",9.955833566366162e-05
3,0.23566214171939828,0.27930783986363866,0.9014,0.9016,"{'cloudy': 0.8902, 'rainy': 0.8658, 'snowy': 0.9337, 'sunny': 0.9157}",9.900810439931104e-05
4,0.20412227427993374,0.30930734719139646,0.8915,0.8964,"{'cloudy': 0.8809, 'rainy': 0.8516, 'snowy': 0.914, 'sunny': 0.9196}",9.824122416519163e-05
5,0.17415424305556848,0.37202615707719405,0.8929,0.895,"{'cloudy': 0.8776, 'rainy': 0.8511, 'snowy': 0.9258, 'sunny': 0.9169}",9.726112003459197e-05
6,0.14226119020208008,0.3460696667611043,0.9024,0.9002,"{'cloudy': 0.8834, 'rainy': 0.877, 'snowy': 0.9352, 'sunny': 0.9138}",9.607216939048322e-05
7,0.13082686089954748,0.38247284623805794,0.8965,0.8943,"{'cloudy': 0.8762, 'rainy': 0.8756, 'snowy': 0.9255, 'sunny': 0.9086}",9.467968237506411e-05
8,0.10818123805426783,0.4060551126075861,0.8926,0.8905,"{'cloudy': 0.8697, 'rainy': 0.8571, 'snowy': 0.9351, 'sunny': 0.9087}",9.308987817337689e-05
9,0.08835855553340188,0.45655954563172774,0.893,0.889,"{'cloudy': 0.8667, 'rainy': 0.8811, 'snowy': 0.9202, 'sunny': 0.904}",9.130985723691713e-05
10,0.07990976987120323,0.5676049810864428,0.8913,0.8869,"{'cloudy': 0.8625, 'rainy': 0.8743, 'snowy': 0.925, 'sunny': 0.9034}",8.93475695712937e-05
11,0.07243414341951004,0.5537122810666457,0.898,0.8973,"{'cloudy': 0.8805, 'rainy': 0.8792, 'snowy': 0.9197, 'sunny': 0.9126}",8.72117792295739e-05
