epoch,train_loss,val_loss,val_macro_f1,val_accuracy,per_class_f1,lr
0,0.45760787428273647,0.2942460710462883,0.8883,0.8921,"{'cloudy': 0.8831, 'rainy': 0.8545, 'snowy': 0.9086, 'sunny': 0.9069}",0.0001
1,0.3196079470429294,0.2538007252002345,0.9033,0.9054,"{'cloudy': 0.8962, 'rainy': 0.8706, 'snowy': 0.9278, 'sunny': 0.9187}",9.988946049184609e-05
2,0.26608725799074434,0.2836615126953098,0.8853,0.8907,"{'cloudy': 0.88, 'rainy': 0.8692, 'snowy': 0.8849, 'sunny': 0.9069}",9.955833566366162e-05
3,0.23378852335647796,0.27892616520376695,0.8972,0.8995,"{'cloudy': 0.8862, 'rainy': 0.8595, 'snowy': 0.9257, 'sunny': 0.9174}",9.900810439931104e-05
4,0.19447767344326403,0.2930819552435095,0.8924,0.8983,"{'cloudy': 0.8849, 'rainy': 0.843, 'snowy': 0.9201, 'sunny': 0.9217}",9.824122416519163e-05
5,0.16766104477491278,0.36292932383126153,0.8896,0.8921,"{'cloudy': 0.8757, 'rainy': 0.8465, 'snowy': 0.9227, 'sunny': 0.9136}",9.726112003459197e-05
6,0.14032688584935055,0.34611453042205376,0.9027,0.9002,"{'cloudy': 0.884, 'rainy': 0.8865, 'snowy': 0.9276, 'sunny': 0.9125}",9.607216939048322e-05
7,0.12207823618539597,0.3528260418474416,0.8962,0.8957,"{'cloudy': 0.8795, 'rainy': 0.8628, 'snowy': 0.9313, 'sunny': 0.9113}",9.467968237506411e-05
8,0.10621479185442997,0.4825085493589412,0.8767,0.8796,"{'cloudy': 0.8633, 'rainy': 0.8196, 'snowy': 0.9196, 'sunny': 0.9045}",9.308987817337689e-05
9,0.08069302344542753,0.4906709230504328,0.8952,0.8905,"{'cloudy': 0.8689, 'rainy': 0.8775, 'snowy': 0.9301, 'sunny': 0.9042}",9.130985723691713e-05
10,0.07398090484698765,0.588118370379078,0.8852,0.8784,"{'cloudy': 0.8506, 'rainy': 0.8818, 'snowy': 0.9155, 'sunny': 0.8928}",8.93475695712937e-05
11,0.06943342415527555,0.5747229595813899,0.8914,0.8879,"{'cloudy': 0.869, 'rainy': 0.865, 'snowy': 0.9305, 'sunny': 0.9011}",8.72117792295739e-05
