epoch,train_loss,val_loss,val_macro_f1,val_accuracy,per_class_f1,lr
0,0.46927987949558636,0.9623365792116725,0.7,0.7509,"{'cloudy': 0.7581, 'rainy': 0.4903, 'snowy': 0.7645, 'sunny': 0.7869}",0.0001
1,0.31555837063398035,0.4555600377401911,0.8626,0.8749,"{'cloudy': 0.8682, 'rainy': 0.7862, 'snowy': 0.8992, 'sunny': 0.8969}",9.988946049184609e-05
2,0.26648629241158206,0.28528987593892824,0.9,0.9021,"{'cloudy': 0.8919, 'rainy': 0.8689, 'snowy': 0.9233, 'sunny': 0.9159}",9.955833566366162e-05
3,0.23251024266065184,0.24062503456957357,0.9145,0.9132,"{'cloudy': 0.9019, 'rainy': 0.9019, 'snowy': 0.9309, 'sunny': 0.9233}",9.900810439931104e-05
4,0.19415558845624753,0.2357041145166333,0.9148,0.9153,"{'cloudy': 0.9053, 'rainy': 0.896, 'snowy': 0.9314, 'sunny': 0.9266}",9.824122416519163e-05
5,0.16397581901931446,0.2481714967814737,0.9147,0.9141,"{'cloudy': 0.9031, 'rainy': 0.8962, 'snowy': 0.9344, 'sunny': 0.9251}",9.726112003459197e-05
6,0.1370932818293232,0.26701100556323565,0.9155,0.9153,"{'cloudy': 0.9046, 'rainy': 0.8952, 'snowy': 0.9356, 'sunny': 0.9265}",9.607216939048322e-05
7,0.1205831521051093,0.2872841889728872,0.9122,0.9122,"{'cloudy': 0.9007, 'rainy': 0.8906, 'snowy': 0.9328, 'sunny': 0.9246}",9.467968237506411e-05
8,0.09870093004809838,0.3137806166788815,0.9116,0.9115,"{'cloudy': 0.9, 'rainy': 0.8911, 'snowy': 0.9316, 'sunny': 0.9236}",9.308987817337689e-05
9,0.08992822982187063,0.36141089756267564,0.9091,0.9094,"{'cloudy': 0.8979, 'rainy': 0.8891, 'snowy': 0.9273, 'sunny': 0.922}",9.130985723691713e-05
10,0.07162748567717578,0.411277442577951,0.9118,0.9108,"{'cloudy': 0.8992, 'rainy': 0.8935, 'snowy': 0.9328, 'sunny': 0.9217}",8.93475695712937e-05
11,0.06662016209264408,0.4577780658730574,0.9111,0.9101,"{'cloudy': 0.8984, 'rainy': 0.893, 'snowy': 0.9318, 'sunny': 0.9211}",8.72117792295739e-05
12,0.061139192679575315,0.4997827515670687,0.9129,0.9106,"{'cloudy': 0.8972, 'rainy': 0.895, 'snowy': 0.9378, 'sunny': 0.9216}",8.491202516989479e-05
13,0.04872523390279775,0.5336212356407583,0.9142,0.911,"{'cloudy': 0.8976, 'rainy': 0.8989, 'snowy': 0.9394, 'sunny': 0.9208}",8.245857865216071e-05
