epoch,train_loss,val_loss,val_macro_f1,val_accuracy,per_class_f1,lr
0,0.5346397720986888,0.630821290251017,0.9052,0.9004,"{'cloudy': 0.8896, 'rainy': 0.8971, 'snowy': 0.9268, 'sunny': 0.9072}",3e-05
1,0.22061447107366153,0.5377012366471995,0.9081,0.9032,"{'cloudy': 0.8932, 'rainy': 0.9037, 'snowy': 0.9268, 'sunny': 0.9088}",2.9967619740035725e-05
2,0.15072201614578565,0.4632629682215022,0.9107,0.9073,"{'cloudy': 0.8982, 'rainy': 0.9037, 'snowy': 0.9268, 'sunny': 0.9139}",2.9870623578244312e-05
3,0.11327640591632752,0.4081612723138001,0.9139,0.9101,"{'cloudy': 0.8982, 'rainy': 0.9037, 'snowy': 0.9344, 'sunny': 0.9193}",2.970944472303051e-05
4,0.0787079950173696,0.36806950502036867,0.919,0.9156,"{'cloudy': 0.9032, 'rainy': 0.9037, 'snowy': 0.9431, 'sunny': 0.9261}",2.9484803038288462e-05
5,0.06585184360543887,0.341040128462381,0.9274,0.9225,"{'cloudy': 0.9097, 'rainy': 0.9173, 'snowy': 0.9508, 'sunny': 0.9317}",2.9197701828314823e-05
6,0.04721847325563431,0.3215699531416328,0.928,0.9239,"{'cloudy': 0.9129, 'rainy': 0.9173, 'snowy': 0.95, 'sunny': 0.9319}",2.884942335680822e-05
7,0.02719083520628157,0.30875745438084856,0.9289,0.9253,"{'cloudy': 0.9147, 'rainy': 0.9173, 'snowy': 0.95, 'sunny': 0.9336}",2.844152311996828e-05
8,0.018161463063387645,0.30091617114806507,0.9289,0.9253,"{'cloudy': 0.9147, 'rainy': 0.9173, 'snowy': 0.95, 'sunny': 0.9336}",2.7975822899272025e-05
9,0.018101524277811958,0.29520174786866055,0.9284,0.9267,"{'cloudy': 0.9159, 'rainy': 0.9104, 'snowy': 0.95, 'sunny': 0.9373}",2.745440262495553e-05
10,0.02604639817561422,0.2945521205831977,0.9292,0.9281,"{'cloudy': 0.9176, 'rainy': 0.9104, 'snowy': 0.95, 'sunny': 0.9389}",2.687959108654059e-05
11,0.014029890724590847,0.297593241084858,0.935,0.9322,"{'cloudy': 0.9226, 'rainy': 0.9104, 'snowy': 0.9661, 'sunny': 0.9408}",2.625395553189539e-05
12,0.013595959828013466,0.30440598101615807,0.935,0.9322,"{'cloudy': 0.9226, 'rainy': 0.9104, 'snowy': 0.9661, 'sunny': 0.9408}",2.558029020128232e-05
13,0.007783757895231247,0.31342349206502346,0.9383,0.935,"{'cloudy': 0.926, 'rainy': 0.9104, 'snowy': 0.9744, 'sunny': 0.9424}",2.486160384760264e-05
14,0.017429161142735253,0.3241309492628004,0.9405,0.9364,"{'cloudy': 0.9278, 'rainy': 0.9173, 'snowy': 0.9744, 'sunny': 0.9424}",2.4101106298575656e-05
15,0.007621823322205316,0.3366130484342727,0.9372,0.9336,"{'cloudy': 0.9246, 'rainy': 0.9091, 'snowy': 0.9744, 'sunny': 0.9408}",2.330219412086891e-05
16,0.006156955056247257,0.35184565612586954,0.941,0.9378,"{'cloudy': 0.9297, 'rainy': 0.916, 'snowy': 0.9744, 'sunny': 0.9441}",2.246843545020692e-05
17,0.012234011789162953,0.36949240333975153,0.941,0.9378,"{'cloudy': 0.9297, 'rainy': 0.916, 'snowy': 0.9744, 'sunny': 0.9441}",2.1603554055210866e-05
18,0.013294252221073423,0.38561703978848527,0.941,0.9378,"{'cloudy': 0.9297, 'rainy': 0.916, 'snowy': 0.9744, 'sunny': 0.9441}",2.071141270614394e-05
19,0.006283469569115412,0.4022458642528205,0.941,0.9378,"{'cloudy': 0.9297, 'rainy': 0.916, 'snowy': 0.9744, 'sunny': 0.9441}",1.97959959228417e-05
20,0.006333663775807335,0.4185754192667841,0.9427,0.9405,"{'cloudy': 0.9329, 'rainy': 0.916, 'snowy': 0.9744, 'sunny': 0.9476}",1.8861392178879166e-05
21,0.0145002081990242,0.43640668283787026,0.9427,0.9405,"{'cloudy': 0.9329, 'rainy': 0.916, 'snowy': 0.9744, 'sunny': 0.9476}",1.7911775641455386e-05
22,0.005870791560127622,0.4534855011443933,0.9427,0.9405,"{'cloudy': 0.9329, 'rainy': 0.916, 'snowy': 0.9744, 'sunny': 0.9476}",1.695138752854943e-05
23,0.004947535764603388,0.47190158390169573,0.9427,0.9405,"{'cloudy': 0.9329, 'rainy': 0.916, 'snowy': 0.9744, 'sunny': 0.9476}",1.598451716661128e-05
24,0.0027348638645240237,0.49132209560965473,0.9427,0.9405,"{'cloudy': 0.9329, 'rainy': 0.916, 'snowy': 0.9744, 'sunny': 0.9476}",1.501548283338872e-05
25,0.00885410461397398,0.5088712173274357,0.9419,0.9391,"{'cloudy': 0.9314, 'rainy': 0.916, 'snowy': 0.9744, 'sunny': 0.9457}",1.4048612471450574e-05
