epoch,train_loss,val_loss,val_macro_f1,val_accuracy,per_class_f1,lr
0,0.4702336318098164,0.325839933517382,0.8666,0.8801,"{'cloudy': 0.8727, 'rainy': 0.8345, 'snowy': 0.8552, 'sunny': 0.9038}",0.0001
1,0.31491183925002986,0.27606938592214275,0.8956,0.8954,"{'cloudy': 0.8794, 'rainy': 0.8749, 'snowy': 0.9183, 'sunny': 0.9098}",9.988946049184609e-05
2,0.2660860163875391,0.3088715077724476,0.8815,0.877,"{'cloudy': 0.8512, 'rainy': 0.8651, 'snowy': 0.9168, 'sunny': 0.8931}",9.955833566366162e-05
3,0.23290028859926581,0.2896119299418244,0.8914,0.8997,"{'cloudy': 0.8909, 'rainy': 0.865, 'snowy': 0.8904, 'sunny': 0.9193}",9.900810439931104e-05
4,0.19461590926069236,0.31698072643878805,0.8987,0.894,"{'cloudy': 0.8823, 'rainy': 0.872, 'snowy': 0.9384, 'sunny': 0.9021}",9.824122416519163e-05
5,0.16143665370130222,0.3122541233002936,0.9089,0.9075,"{'cloudy': 0.8935, 'rainy': 0.8879, 'snowy': 0.9345, 'sunny': 0.9197}",9.726112003459197e-05
6,0.1366801220831767,0.3462200449005417,0.903,0.9028,"{'cloudy': 0.8909, 'rainy': 0.877, 'snowy': 0.9291, 'sunny': 0.9149}",9.607216939048322e-05
7,0.11821662460010238,0.37672396932152624,0.9031,0.9037,"{'cloudy': 0.8931, 'rainy': 0.8822, 'snowy': 0.9209, 'sunny': 0.9162}",9.467968237506411e-05
8,0.10164583853288665,0.42894312911615023,0.8953,0.8935,"{'cloudy': 0.8757, 'rainy': 0.8803, 'snowy': 0.9177, 'sunny': 0.9075}",9.308987817337689e-05
9,0.08796669318706532,0.6002613065674017,0.8807,0.8791,"{'cloudy': 0.8648, 'rainy': 0.8471, 'snowy': 0.9167, 'sunny': 0.8941}",9.130985723691713e-05
10,0.0741558755682587,0.47569837415545874,0.9,0.8969,"{'cloudy': 0.8833, 'rainy': 0.8874, 'snowy': 0.9231, 'sunny': 0.9063}",8.93475695712937e-05
11,0.06534701782990904,0.5860603432058444,0.8943,0.8916,"{'cloudy': 0.8764, 'rainy': 0.8782, 'snowy': 0.9187, 'sunny': 0.9038}",8.72117792295739e-05
12,0.05887975977058655,0.7244244225146269,0.8914,0.8888,"{'cloudy': 0.8745, 'rainy': 0.86, 'snowy': 0.9292, 'sunny': 0.9019}",8.491202516989479e-05
13,0.05571986247822501,0.7283930796541503,0.9006,0.8976,"{'cloudy': 0.8829, 'rainy': 0.8896, 'snowy': 0.9219, 'sunny': 0.9078}",8.245857865216071e-05
14,0.04992009933323969,0.8361461057038888,0.891,0.8914,"{'cloudy': 0.8748, 'rainy': 0.8574, 'snowy': 0.9223, 'sunny': 0.9095}",7.986239736410308e-05
15,0.04760111208856671,0.6607422109076091,0.9023,0.8997,"{'cloudy': 0.8848, 'rainy': 0.8835, 'snowy': 0.9293, 'sunny': 0.9118}",7.713507648158695e-05
