epoch,train_loss,val_loss,val_macro_f1,val_accuracy,per_class_f1,lr
0,0.46775405445406515,0.9627325893344736,0.6974,0.7495,"{'cloudy': 0.758, 'rainy': 0.4854, 'snowy': 0.7615, 'sunny': 0.7848}",0.0001
1,0.3158518519302021,0.4572738329494806,0.8627,0.8734,"{'cloudy': 0.8656, 'rainy': 0.7866, 'snowy': 0.9037, 'sunny': 0.8948}",9.988946049184609e-05
2,0.26840974521987576,0.28580343349367604,0.9028,0.904,"{'cloudy': 0.8939, 'rainy': 0.8751, 'snowy': 0.9257, 'sunny': 0.9166}",9.955833566366162e-05
3,0.23470244149498967,0.24061723984252745,0.9141,0.9122,"{'cloudy': 0.9007, 'rainy': 0.8986, 'snowy': 0.9347, 'sunny': 0.9222}",9.900810439931104e-05
4,0.1948167076528751,0.23357252760867314,0.9171,0.9165,"{'cloudy': 0.9063, 'rainy': 0.9, 'snowy': 0.9354, 'sunny': 0.9265}",9.824122416519163e-05
5,0.1628601987487451,0.24562862873590757,0.9172,0.916,"{'cloudy': 0.9052, 'rainy': 0.9019, 'snowy': 0.9357, 'sunny': 0.9259}",9.726112003459197e-05
6,0.13947867017515017,0.26396653108635554,0.9182,0.9179,"{'cloudy': 0.906, 'rainy': 0.8972, 'snowy': 0.9398, 'sunny': 0.9299}",9.607216939048322e-05
7,0.12226233497064073,0.2831975255281488,0.9146,0.9144,"{'cloudy': 0.9035, 'rainy': 0.8984, 'snowy': 0.9314, 'sunny': 0.9253}",9.467968237506411e-05
8,0.10255948988547588,0.3110235088762576,0.9169,0.9151,"{'cloudy': 0.9025, 'rainy': 0.8996, 'snowy': 0.9395, 'sunny': 0.9258}",9.308987817337689e-05
9,0.08751458883907583,0.35141593151114237,0.9147,0.9115,"{'cloudy': 0.8976, 'rainy': 0.8996, 'snowy': 0.9398, 'sunny': 0.9216}",9.130985723691713e-05
10,0.0838268523367804,0.398263351769163,0.913,0.9096,"{'cloudy': 0.8951, 'rainy': 0.8986, 'snowy': 0.9383, 'sunny': 0.92}",8.93475695712937e-05
11,0.07329033784554172,0.43212638727193126,0.9121,0.9084,"{'cloudy': 0.8937, 'rainy': 0.9005, 'snowy': 0.9356, 'sunny': 0.9186}",8.72117792295739e-05
12,0.062208156438943785,0.47199777944434346,0.9122,0.9094,"{'cloudy': 0.8963, 'rainy': 0.8991, 'snowy': 0.934, 'sunny': 0.9192}",8.491202516989479e-05
13,0.05412459389732504,0.5161781067173453,0.9092,0.9063,"{'cloudy': 0.8933, 'rainy': 0.8935, 'snowy': 0.9342, 'sunny': 0.9159}",8.245857865216071e-05
14,0.04937847789228528,0.5804334476105067,0.911,0.908,"{'cloudy': 0.8937, 'rainy': 0.894, 'snowy': 0.9377, 'sunny': 0.9187}",7.986239736410308e-05
15,0.04738910036051974,0.6277099755004951,0.9106,0.9066,"{'cloudy': 0.8928, 'rainy': 0.894, 'snowy': 0.9401, 'sunny': 0.9156}",7.713507648158695e-05
16,0.04844168852837986,0.6685495504595225,0.9115,0.9077,"{'cloudy': 0.8933, 'rainy': 0.8947, 'snowy': 0.9403, 'sunny': 0.9177}",7.428879688174084e-05
