epoch,train_loss,val_loss,val_macro_f1,val_accuracy,per_class_f1,lr
0,0.6788259211040678,1.323867766753487,0.1958,0.3734,"{'cloudy': 0.0807, 'rainy': 0.0, 'snowy': 0.1613, 'sunny': 0.5413}",0.0001
1,0.31694496061120714,1.2425549030303955,0.2658,0.4467,"{'cloudy': 0.2653, 'rainy': 0.0, 'snowy': 0.2195, 'sunny': 0.5784}",9.988946049184609e-05
2,0.2604310304636047,1.141307654588119,0.3926,0.5629,"{'cloudy': 0.5105, 'rainy': 0.0588, 'snowy': 0.3467, 'sunny': 0.6545}",9.955833566366162e-05
3,0.2038768137494723,1.0234031003454458,0.4969,0.6445,"{'cloudy': 0.6252, 'rainy': 0.1667, 'snowy': 0.475, 'sunny': 0.7208}",9.900810439931104e-05
4,0.17967345991304942,0.8902973351271256,0.64,0.7441,"{'cloudy': 0.7381, 'rainy': 0.35, 'snowy': 0.6667, 'sunny': 0.8052}",9.824122416519163e-05
5,0.14947817545561565,0.7532308529252592,0.7535,0.8105,"{'cloudy': 0.7993, 'rainy': 0.5745, 'snowy': 0.78, 'sunny': 0.8602}",9.726112003459197e-05
6,0.12164511194541341,0.618514349927073,0.7996,0.8506,"{'cloudy': 0.8424, 'rainy': 0.6535, 'snowy': 0.8039, 'sunny': 0.8986}",9.607216939048322e-05
7,0.10831866679447037,0.49332195520401,0.8569,0.8921,"{'cloudy': 0.8885, 'rainy': 0.7523, 'snowy': 0.8598, 'sunny': 0.9269}",9.467968237506411e-05
8,0.09498828940448306,0.38496049720308056,0.8813,0.9046,"{'cloudy': 0.8978, 'rainy': 0.8036, 'snowy': 0.8909, 'sunny': 0.9331}",9.308987817337689e-05
9,0.06925437656186875,0.30340895947554836,0.8962,0.9142,"{'cloudy': 0.9071, 'rainy': 0.8276, 'snowy': 0.9107, 'sunny': 0.9394}",9.130985723691713e-05
10,0.06725685958351407,0.24548260163029897,0.9152,0.9239,"{'cloudy': 0.9167, 'rainy': 0.8644, 'snowy': 0.9391, 'sunny': 0.9406}",8.93475695712937e-05
11,0.04464173178587641,0.20557398620345022,0.9239,0.9308,"{'cloudy': 0.926, 'rainy': 0.8689, 'snowy': 0.9573, 'sunny': 0.9436}",8.72117792295739e-05
12,0.05843642134042013,0.1808515437676207,0.9282,0.9364,"{'cloudy': 0.9325, 'rainy': 0.864, 'snowy': 0.9661, 'sunny': 0.9501}",8.491202516989479e-05
13,0.050556527432941256,0.16674707551567775,0.9289,0.9364,"{'cloudy': 0.9335, 'rainy': 0.875, 'snowy': 0.9587, 'sunny': 0.9483}",8.245857865216071e-05
14,0.023423259066683907,0.1608271939912811,0.9385,0.9433,"{'cloudy': 0.9412, 'rainy': 0.9104, 'snowy': 0.9508, 'sunny': 0.9516}",7.986239736410308e-05
15,0.04424577181537946,0.1622682673421324,0.9396,0.9447,"{'cloudy': 0.9427, 'rainy': 0.9118, 'snowy': 0.9508, 'sunny': 0.9532}",7.713507648158695e-05
16,0.029666498196976525,0.16984820047029012,0.9428,0.9474,"{'cloudy': 0.946, 'rainy': 0.9197, 'snowy': 0.9508, 'sunny': 0.9549}",7.428879688174084e-05
17,0.021405472322588874,0.17971509264506216,0.9428,0.9474,"{'cloudy': 0.946, 'rainy': 0.9197, 'snowy': 0.9508, 'sunny': 0.9549}",7.133627074020258e-05
18,0.013794275124867757,0.19652495103503537,0.9443,0.9474,"{'cloudy': 0.946, 'rainy': 0.9265, 'snowy': 0.9516, 'sunny': 0.953}",6.829068475545687e-05
19,0.02464165584672065,0.21401274649685112,0.9367,0.9419,"{'cloudy': 0.941, 'rainy': 0.913, 'snowy': 0.9431, 'sunny': 0.9496}",6.516564125383888e-05
20,0.02711589772786413,0.2323276279502075,0.938,0.9419,"{'cloudy': 0.9394, 'rainy': 0.9275, 'snowy': 0.9355, 'sunny': 0.9494}",6.197509743824264e-05
21,0.009409322305804208,0.24914822704305034,0.945,0.9488,"{'cloudy': 0.9482, 'rainy': 0.9343, 'snowy': 0.9431, 'sunny': 0.9542}",5.873330305186492e-05
22,0.03234895261980238,0.2639330489496585,0.945,0.9488,"{'cloudy': 0.9482, 'rainy': 0.9343, 'snowy': 0.9431, 'sunny': 0.9542}",5.545473673539287e-05
23,0.009710297804503214,0.27857390841356156,0.9441,0.9474,"{'cloudy': 0.9467, 'rainy': 0.9343, 'snowy': 0.9431, 'sunny': 0.9524}",5.2154041361879886e-05
24,0.015232178533361071,0.2947092835443666,0.9433,0.9461,"{'cloudy': 0.9452, 'rainy': 0.9343, 'snowy': 0.9431, 'sunny': 0.9505}",4.884595863812011e-05
25,0.006761143072730019,0.31100518181781306,0.9418,0.9461,"{'cloudy': 0.945, 'rainy': 0.9343, 'snowy': 0.9355, 'sunny': 0.9524}",4.554526326460713e-05
26,0.009569537391265233,0.3263604749970084,0.9397,0.9447,"{'cloudy': 0.9435, 'rainy': 0.9275, 'snowy': 0.9355, 'sunny': 0.9522}",4.226669694813506e-05
27,0.005376296029204414,0.33915513033046807,0.9399,0.9447,"{'cloudy': 0.9435, 'rainy': 0.9209, 'snowy': 0.9431, 'sunny': 0.9522}",3.902490256175736e-05
28,0.005881939438127336,0.3533630171296825,0.9376,0.9433,"{'cloudy': 0.9417, 'rainy': 0.9209, 'snowy': 0.9355, 'sunny': 0.9522}",3.5834358746161124e-05
