epoch,train_loss,val_loss,val_macro_f1,val_accuracy,per_class_f1,lr
0,0.4647173700426516,0.3024835790213394,0.8835,0.8905,"{'cloudy': 0.8776, 'rainy': 0.8533, 'snowy': 0.8913, 'sunny': 0.9116}",0.0001
1,0.3144418300187791,0.2707875121482893,0.8994,0.8997,"{'cloudy': 0.8844, 'rainy': 0.8747, 'snowy': 0.9242, 'sunny': 0.9141}",9.988946049184609e-05
2,0.2630222203100429,0.3372873961108192,0.8787,0.8685,"{'cloudy': 0.8333, 'rainy': 0.8736, 'snowy': 0.9241, 'sunny': 0.8839}",9.955833566366162e-05
3,0.22895273554935852,0.3104542747640604,0.8918,0.8969,"{'cloudy': 0.8832, 'rainy': 0.8509, 'snowy': 0.914, 'sunny': 0.9191}",9.900810439931104e-05
4,0.18848480303299947,0.29745321386735324,0.902,0.8983,"{'cloudy': 0.8879, 'rainy': 0.8889, 'snowy': 0.9262, 'sunny': 0.9051}",9.824122416519163e-05
5,0.15991213668908294,0.34600622440066425,0.9045,0.9023,"{'cloudy': 0.8888, 'rainy': 0.877, 'snowy': 0.938, 'sunny': 0.9142}",9.726112003459197e-05
6,0.1392275402128018,0.3375727291599912,0.9048,0.9054,"{'cloudy': 0.895, 'rainy': 0.8776, 'snowy': 0.9287, 'sunny': 0.918}",9.607216939048322e-05
7,0.11456511800921393,0.4068299977752622,0.8924,0.8933,"{'cloudy': 0.8715, 'rainy': 0.856, 'snowy': 0.9263, 'sunny': 0.9158}",9.467968237506411e-05
8,0.0993861467692386,0.4983329134044098,0.8912,0.8909,"{'cloudy': 0.8698, 'rainy': 0.8601, 'snowy': 0.9238, 'sunny': 0.9111}",9.308987817337689e-05
9,0.08809387534008532,0.5297322020061771,0.9018,0.8992,"{'cloudy': 0.8845, 'rainy': 0.876, 'snowy': 0.9351, 'sunny': 0.9117}",9.130985723691713e-05
10,0.0739492179801161,0.5469504836199683,0.8881,0.8864,"{'cloudy': 0.8707, 'rainy': 0.8699, 'snowy': 0.9124, 'sunny': 0.8995}",8.93475695712937e-05
11,0.07013722321820892,0.5665142684422352,0.8974,0.8952,"{'cloudy': 0.8819, 'rainy': 0.8697, 'snowy': 0.9307, 'sunny': 0.9072}",8.72117792295739e-05
12,0.060584649521383885,0.6369791423684157,0.8874,0.8862,"{'cloudy': 0.8706, 'rainy': 0.8462, 'snowy': 0.9304, 'sunny': 0.9024}",8.491202516989479e-05
13,0.057739111402229294,0.7997741593246137,0.8946,0.89,"{'cloudy': 0.8699, 'rainy': 0.8806, 'snowy': 0.9254, 'sunny': 0.9024}",8.245857865216071e-05
14,0.048448545437666676,0.8484352014768871,0.9002,0.8985,"{'cloudy': 0.8817, 'rainy': 0.8778, 'snowy': 0.9286, 'sunny': 0.9128}",7.986239736410308e-05
15,0.04788285189182754,0.7966676604517322,0.9005,0.8995,"{'cloudy': 0.8837, 'rainy': 0.8736, 'snowy': 0.9311, 'sunny': 0.9138}",7.713507648158695e-05
