epoch,train_loss,val_loss,val_macro_f1,val_accuracy,per_class_f1,lr
0,0.45901670092027597,0.29606711745430203,0.8835,0.895,"{'cloudy': 0.8921, 'rainy': 0.8662, 'snowy': 0.8637, 'sunny': 0.9118}",0.0001
1,0.3091205603512008,0.29414770076720087,0.8903,0.8945,"{'cloudy': 0.8811, 'rainy': 0.8355, 'snowy': 0.9275, 'sunny': 0.9173}",9.988946049184609e-05
2,0.2661679599158452,0.256232681517779,0.9046,0.9058,"{'cloudy': 0.8929, 'rainy': 0.8782, 'snowy': 0.9271, 'sunny': 0.9202}",9.955833566366162e-05
3,0.2233554821115065,0.2814262550339943,0.8921,0.8999,"{'cloudy': 0.892, 'rainy': 0.8552, 'snowy': 0.9021, 'sunny': 0.9189}",9.900810439931104e-05
4,0.19232144317036562,0.28523940968733585,0.9065,0.9068,"{'cloudy': 0.8947, 'rainy': 0.8761, 'snowy': 0.9352, 'sunny': 0.9202}",9.824122416519163e-05
5,0.16204180095549778,0.33130467684739934,0.9016,0.9016,"{'cloudy': 0.8898, 'rainy': 0.8831, 'snowy': 0.9194, 'sunny': 0.9141}",9.726112003459197e-05
6,0.13500427866117778,0.3659203349455318,0.8909,0.8886,"{'cloudy': 0.8671, 'rainy': 0.8722, 'snowy': 0.9194, 'sunny': 0.9051}",9.607216939048322e-05
7,0.11489002293495344,0.38474025292606784,0.902,0.9016,"{'cloudy': 0.8886, 'rainy': 0.8731, 'snowy': 0.9316, 'sunny': 0.9147}",9.467968237506411e-05
8,0.10819806430693822,0.4043820029411635,0.9026,0.9011,"{'cloudy': 0.8885, 'rainy': 0.8879, 'snowy': 0.9225, 'sunny': 0.9115}",9.308987817337689e-05
9,0.08133426814762419,0.5767878504306884,0.8978,0.8957,"{'cloudy': 0.8786, 'rainy': 0.8827, 'snowy': 0.9213, 'sunny': 0.9087}",9.130985723691713e-05
10,0.07716115778294415,0.45766979407819364,0.904,0.9013,"{'cloudy': 0.8872, 'rainy': 0.8843, 'snowy': 0.9318, 'sunny': 0.9128}",8.93475695712937e-05
11,0.06900036747812999,0.6984475016774357,0.8963,0.8969,"{'cloudy': 0.8814, 'rainy': 0.8822, 'snowy': 0.9095, 'sunny': 0.9119}",8.72117792295739e-05
12,0.05780456985649167,0.6561551459171138,0.9027,0.8999,"{'cloudy': 0.8826, 'rainy': 0.8865, 'snowy': 0.929, 'sunny': 0.9128}",8.491202516989479e-05
13,0.06093867418605417,0.7529079542560181,0.8913,0.8895,"{'cloudy': 0.8768, 'rainy': 0.8726, 'snowy': 0.9152, 'sunny': 0.9008}",8.245857865216071e-05
14,0.04527127909592478,0.8429086271231218,0.8905,0.8928,"{'cloudy': 0.8842, 'rainy': 0.8629, 'snowy': 0.9084, 'sunny': 0.9065}",7.986239736410308e-05
