epoch,train_loss,val_loss,val_macro_f1,val_accuracy,per_class_f1,lr
0,0.5765176938048431,0.6330678402675561,0.9035,0.8976,"{'cloudy': 0.886, 'rainy': 0.8971, 'snowy': 0.9268, 'sunny': 0.904}",3e-05
1,0.20917948945647194,0.5386189827967547,0.906,0.9018,"{'cloudy': 0.8911, 'rainy': 0.8971, 'snowy': 0.9268, 'sunny': 0.9091}",2.9967619740035725e-05
2,0.15385384119692302,0.46242795505563467,0.9098,0.9059,"{'cloudy': 0.8961, 'rainy': 0.9037, 'snowy': 0.9268, 'sunny': 0.9126}",2.9870623578244312e-05
3,0.10298530459403991,0.4021541033466549,0.9169,0.9129,"{'cloudy': 0.9015, 'rainy': 0.9104, 'snowy': 0.9344, 'sunny': 0.9212}",2.970944472303051e-05
4,0.07790888203751473,0.36174754075308674,0.9256,0.9225,"{'cloudy': 0.9111, 'rainy': 0.9173, 'snowy': 0.9421, 'sunny': 0.9319}",2.9484803038288462e-05
5,0.049980702712422324,0.3324527479847387,0.9319,0.9281,"{'cloudy': 0.9179, 'rainy': 0.9242, 'snowy': 0.95, 'sunny': 0.9354}",2.9197701828314823e-05
6,0.04802418283763386,0.3123714588886208,0.929,0.9253,"{'cloudy': 0.9126, 'rainy': 0.9091, 'snowy': 0.9587, 'sunny': 0.9357}",2.884942335680822e-05
7,0.02512724275390307,0.30065564413393,0.9323,0.9281,"{'cloudy': 0.9159, 'rainy': 0.9091, 'snowy': 0.9667, 'sunny': 0.9375}",2.844152311996828e-05
8,0.03175272068807057,0.29409913099168433,0.9293,0.9281,"{'cloudy': 0.9161, 'rainy': 0.9023, 'snowy': 0.958, 'sunny': 0.9408}",2.7975822899272025e-05
9,0.015557986497879029,0.2899687265554625,0.9293,0.9281,"{'cloudy': 0.9161, 'rainy': 0.9023, 'snowy': 0.958, 'sunny': 0.9408}",2.745440262495553e-05
10,0.01511136254384404,0.28975274776672927,0.9323,0.9308,"{'cloudy': 0.9196, 'rainy': 0.9091, 'snowy': 0.958, 'sunny': 0.9424}",2.687959108654059e-05
11,0.010859214443536032,0.29304905040139007,0.9331,0.9322,"{'cloudy': 0.9216, 'rainy': 0.9091, 'snowy': 0.958, 'sunny': 0.9439}",2.625395553189539e-05
12,0.0086241667114553,0.30197910722484306,0.9361,0.935,"{'cloudy': 0.9248, 'rainy': 0.916, 'snowy': 0.958, 'sunny': 0.9457}",2.558029020128232e-05
13,0.013449016781080337,0.3134028543465082,0.9386,0.9364,"{'cloudy': 0.9265, 'rainy': 0.916, 'snowy': 0.9661, 'sunny': 0.9457}",2.486160384760264e-05
14,0.008073785546280089,0.3259647804446539,0.9408,0.9378,"{'cloudy': 0.9282, 'rainy': 0.9231, 'snowy': 0.9661, 'sunny': 0.9457}",2.4101106298575656e-05
15,0.014544517369497391,0.3403728520331598,0.9408,0.9378,"{'cloudy': 0.928, 'rainy': 0.9231, 'snowy': 0.9661, 'sunny': 0.9459}",2.330219412086891e-05
16,0.006456769577094487,0.3565051750424375,0.9373,0.935,"{'cloudy': 0.9265, 'rainy': 0.9231, 'snowy': 0.9573, 'sunny': 0.9424}",2.246843545020692e-05
17,0.0014313628985768274,0.3748232069795093,0.9373,0.935,"{'cloudy': 0.9265, 'rainy': 0.9231, 'snowy': 0.9573, 'sunny': 0.9424}",2.1603554055210866e-05
18,0.012257665821484158,0.394532657338815,0.9382,0.9364,"{'cloudy': 0.9282, 'rainy': 0.9231, 'snowy': 0.9573, 'sunny': 0.9441}",2.071141270614394e-05
19,0.010356670618057251,0.41344493440884317,0.9404,0.9378,"{'cloudy': 0.9299, 'rainy': 0.9302, 'snowy': 0.9573, 'sunny': 0.9441}",1.97959959228417e-05
20,0.0067131221649192625,0.43242570686085025,0.9412,0.9391,"{'cloudy': 0.9314, 'rainy': 0.9302, 'snowy': 0.9573, 'sunny': 0.9459}",1.8861392178879166e-05
21,0.0018857011128039587,0.4546332548476703,0.942,0.9405,"{'cloudy': 0.9331, 'rainy': 0.9302, 'snowy': 0.9573, 'sunny': 0.9476}",1.7911775641455386e-05
22,0.009358515235639754,0.47339000957056315,0.942,0.9405,"{'cloudy': 0.9331, 'rainy': 0.9302, 'snowy': 0.9573, 'sunny': 0.9476}",1.695138752854943e-05
23,0.0061228704949220026,0.4932274338905838,0.942,0.9405,"{'cloudy': 0.9331, 'rainy': 0.9302, 'snowy': 0.9573, 'sunny': 0.9476}",1.598451716661128e-05
24,0.005067520659594309,0.5157263032841041,0.942,0.9405,"{'cloudy': 0.9331, 'rainy': 0.9302, 'snowy': 0.9573, 'sunny': 0.9476}",1.501548283338872e-05
25,0.0010832883772395907,0.5384258845838031,0.942,0.9405,"{'cloudy': 0.9331, 'rainy': 0.9302, 'snowy': 0.9573, 'sunny': 0.9476}",1.4048612471450574e-05
26,0.010721200527179809,0.5583653862945045,0.942,0.9405,"{'cloudy': 0.9331, 'rainy': 0.9302, 'snowy': 0.9573, 'sunny': 0.9476}",1.3088224358544615e-05
27,0.008266292299543109,0.5775690076114783,0.942,0.9405,"{'cloudy': 0.9331, 'rainy': 0.9302, 'snowy': 0.9573, 'sunny': 0.9476}",1.2138607821120844e-05
28,0.0002675357319059826,0.5947003426878723,0.9429,0.9419,"{'cloudy': 0.9346, 'rainy': 0.9302, 'snowy': 0.9573, 'sunny': 0.9494}",1.120400407715831e-05
29,0.0016981140488669987,0.6106312564369566,0.9431,0.9419,"{'cloudy': 0.9346, 'rainy': 0.9231, 'snowy': 0.9655, 'sunny': 0.9494}",1.0288587293856064e-05
30,0.006279123609974271,0.6250058580387363,0.9407,0.9405,"{'cloudy': 0.9329, 'rainy': 0.9231, 'snowy': 0.9573, 'sunny': 0.9494}",9.396445944789147e-06
31,0.006767266598485765,0.639506748767449,0.9431,0.9419,"{'cloudy': 0.9346, 'rainy': 0.9231, 'snowy': 0.9655, 'sunny': 0.9494}",8.531564549793087e-06
32,0.003369966823430288,0.6510175003347802,0.9399,0.9391,"{'cloudy': 0.9314, 'rainy': 0.9147, 'snowy': 0.9655, 'sunny': 0.9477}",7.697805879131098e-06
33,0.006851192138024739,0.6633697687591473,0.9399,0.9391,"{'cloudy': 0.9314, 'rainy': 0.9147, 'snowy': 0.9655, 'sunny': 0.9477}",6.89889370142435e-06
34,0.0022706906000773113,0.6759718451744626,0.9349,0.9364,"{'cloudy': 0.9297, 'rainy': 0.9147, 'snowy': 0.9492, 'sunny': 0.9459}",6.138396152397365e-06
35,0.002353091360557647,0.6900233592291807,0.9373,0.9378,"{'cloudy': 0.9314, 'rainy': 0.9147, 'snowy': 0.9573, 'sunny': 0.9459}",5.419709798717687e-06
36,0.0009440576036771138,0.7032913995144906,0.9373,0.9378,"{'cloudy': 0.9314, 'rainy': 0.9147, 'snowy': 0.9573, 'sunny': 0.9459}",4.746044468104615e-06
37,0.010004497035628274,0.7156168220402053,0.9382,0.9391,"{'cloudy': 0.9331, 'rainy': 0.9147, 'snowy': 0.9573, 'sunny': 0.9476}",4.1204089134594154e-06
38,0.0005825747691449664,0.7273534757447571,0.9357,0.9378,"{'cloudy': 0.9314, 'rainy': 0.9147, 'snowy': 0.9492, 'sunny': 0.9476}",3.5455973750444784e-06
39,0.0062088892218612485,0.7385493967662236,0.9357,0.9378,"{'cloudy': 0.9314, 'rainy': 0.9147, 'snowy': 0.9492, 'sunny': 0.9476}",3.0241771007279818e-06
