epoch,train_loss,val_loss,val_macro_f1,val_accuracy,per_class_f1,lr
0,0.5387543057086233,0.30689222579646225,0.8837,0.8841,"{'cloudy': 0.8728, 'rainy': 0.8541, 'snowy': 0.9093, 'sunny': 0.8984}",0.0001
1,0.35943105023007915,0.2749950121488545,0.8894,0.8966,"{'cloudy': 0.8884, 'rainy': 0.859, 'snowy': 0.896, 'sunny': 0.9143}",9.988946049184609e-05
2,0.31420011872839204,0.28567193167631183,0.8941,0.8933,"{'cloudy': 0.8754, 'rainy': 0.8684, 'snowy': 0.9227, 'sunny': 0.9097}",9.955833566366162e-05
3,0.28620032923016875,0.27189806809666445,0.9015,0.9032,"{'cloudy': 0.8908, 'rainy': 0.872, 'snowy': 0.9243, 'sunny': 0.9191}",9.900810439931104e-05
4,0.2595761453404146,0.2994867222018997,0.8904,0.8928,"{'cloudy': 0.877, 'rainy': 0.8563, 'snowy': 0.9161, 'sunny': 0.9124}",9.824122416519163e-05
5,0.23566490489515907,0.29583352661193546,0.8997,0.9011,"{'cloudy': 0.8877, 'rainy': 0.8736, 'snowy': 0.9203, 'sunny': 0.9173}",9.726112003459197e-05
6,0.21348376778542882,0.31434119448369424,0.898,0.8935,"{'cloudy': 0.8804, 'rainy': 0.8822, 'snowy': 0.9273, 'sunny': 0.9022}",9.607216939048322e-05
7,0.19120226688046835,0.30963997220228434,0.9045,0.9047,"{'cloudy': 0.8922, 'rainy': 0.8775, 'snowy': 0.9301, 'sunny': 0.9183}",9.467968237506411e-05
8,0.17719830102525808,0.33767659920258153,0.9022,0.9013,"{'cloudy': 0.8925, 'rainy': 0.8764, 'snowy': 0.9289, 'sunny': 0.9109}",9.308987817337689e-05
9,0.1635528764911915,0.3423872788335362,0.9012,0.8987,"{'cloudy': 0.8848, 'rainy': 0.8766, 'snowy': 0.933, 'sunny': 0.9104}",9.130985723691713e-05
10,0.14426515044987315,0.3852318326506563,0.9011,0.9002,"{'cloudy': 0.8843, 'rainy': 0.8782, 'snowy': 0.9276, 'sunny': 0.9143}",8.93475695712937e-05
11,0.12899482093284886,0.3921178381168503,0.8997,0.899,"{'cloudy': 0.8863, 'rainy': 0.8773, 'snowy': 0.9233, 'sunny': 0.9118}",8.72117792295739e-05
12,0.11473976069994171,0.39900521743715356,0.9001,0.8985,"{'cloudy': 0.8822, 'rainy': 0.8783, 'snowy': 0.9265, 'sunny': 0.9132}",8.491202516989479e-05
13,0.1057012500612514,0.460056158793293,0.8986,0.8947,"{'cloudy': 0.8768, 'rainy': 0.8765, 'snowy': 0.9335, 'sunny': 0.9077}",8.245857865216071e-05
14,0.09766105218901806,0.4804383224878792,0.9013,0.8995,"{'cloudy': 0.886, 'rainy': 0.8846, 'snowy': 0.9235, 'sunny': 0.9112}",7.986239736410308e-05
15,0.08957541899391551,0.50300122308845,0.8984,0.8961,"{'cloudy': 0.8816, 'rainy': 0.8802, 'snowy': 0.9235, 'sunny': 0.9081}",7.713507648158695e-05
16,0.07850521798660905,0.5290901671173032,0.9027,0.8995,"{'cloudy': 0.887, 'rainy': 0.8882, 'snowy': 0.9275, 'sunny': 0.9083}",7.428879688174084e-05
17,0.07192225212079298,0.5730497202726031,0.9022,0.8978,"{'cloudy': 0.8816, 'rainy': 0.8833, 'snowy': 0.9354, 'sunny': 0.9085}",7.133627074020258e-05
