epoch,train_loss,val_loss,val_macro_f1,val_accuracy,per_class_f1,lr
0,0.4599500250714554,0.29432994432579307,0.8876,0.8964,"{'cloudy': 0.8916, 'rainy': 0.876, 'snowy': 0.8711, 'sunny': 0.9116}",0.0001
1,0.30911485476161316,0.29165432984236966,0.8841,0.8907,"{'cloudy': 0.8781, 'rainy': 0.8332, 'snowy': 0.9103, 'sunny': 0.9149}",9.988946049184609e-05
2,0.2685391588359223,0.2578898073190253,0.9029,0.9035,"{'cloudy': 0.8901, 'rainy': 0.8772, 'snowy': 0.9267, 'sunny': 0.9176}",9.955833566366162e-05
3,0.22211247841620807,0.2892320319613071,0.8911,0.8997,"{'cloudy': 0.8913, 'rainy': 0.8523, 'snowy': 0.9008, 'sunny': 0.92}",9.900810439931104e-05
4,0.19423156886218396,0.2829727587451821,0.9053,0.9058,"{'cloudy': 0.8942, 'rainy': 0.8715, 'snowy': 0.9359, 'sunny': 0.9196}",9.824122416519163e-05
5,0.16703336357193835,0.3440115383423119,0.9029,0.9037,"{'cloudy': 0.894, 'rainy': 0.8762, 'snowy': 0.9255, 'sunny': 0.9157}",9.726112003459197e-05
6,0.13554105852541481,0.48856349242866864,0.8783,0.8749,"{'cloudy': 0.8482, 'rainy': 0.8544, 'snowy': 0.9172, 'sunny': 0.8936}",9.607216939048322e-05
7,0.11501629724815855,0.3781656596837781,0.9038,0.9042,"{'cloudy': 0.8939, 'rainy': 0.882, 'snowy': 0.9239, 'sunny': 0.9154}",9.467968237506411e-05
8,0.10473831029753758,0.4984305452609212,0.8903,0.8931,"{'cloudy': 0.8816, 'rainy': 0.8673, 'snowy': 0.9034, 'sunny': 0.909}",9.308987817337689e-05
9,0.08675163980057389,0.6134638122027881,0.8897,0.8834,"{'cloudy': 0.8593, 'rainy': 0.8824, 'snowy': 0.9208, 'sunny': 0.8963}",9.130985723691713e-05
10,0.07926008981110022,0.5598344079329384,0.8942,0.89,"{'cloudy': 0.8808, 'rainy': 0.8775, 'snowy': 0.9237, 'sunny': 0.895}",8.93475695712937e-05
11,0.07245333761372648,0.7092372688647337,0.8837,0.8902,"{'cloudy': 0.8774, 'rainy': 0.8501, 'snowy': 0.8963, 'sunny': 0.9108}",8.72117792295739e-05
12,0.06124920969160956,0.6846425844124133,0.8879,0.8881,"{'cloudy': 0.8767, 'rainy': 0.8515, 'snowy': 0.921, 'sunny': 0.9024}",8.491202516989479e-05
13,0.06671498648723344,0.5908246055396902,0.9022,0.9018,"{'cloudy': 0.8882, 'rainy': 0.8719, 'snowy': 0.9332, 'sunny': 0.9156}",8.245857865216071e-05
14,0.05259602691490465,0.7347794931808701,0.8945,0.8938,"{'cloudy': 0.8778, 'rainy': 0.8704, 'snowy': 0.921, 'sunny': 0.9089}",7.986239736410308e-05
