epoch,train_loss,val_loss,val_macro_f1,val_accuracy,per_class_f1,lr
0,0.6134421987144499,0.4767070591897893,0.8954,0.8987,"{'cloudy': 0.8917, 'rainy': 0.8831, 'snowy': 0.8961, 'sunny': 0.9105}",0.0001
1,0.4942717402325183,0.4799522239910929,0.8915,0.898,"{'cloudy': 0.8881, 'rainy': 0.847, 'snowy': 0.9115, 'sunny': 0.9193}",9.988946049184609e-05
2,0.4589157876411923,0.4574843741449198,0.9066,0.9075,"{'cloudy': 0.8966, 'rainy': 0.8811, 'snowy': 0.9287, 'sunny': 0.9199}",9.955833566366162e-05
3,0.4264343961140236,0.4873704455400768,0.8885,0.8928,"{'cloudy': 0.8834, 'rainy': 0.8501, 'snowy': 0.9108, 'sunny': 0.9097}",9.900810439931104e-05
4,0.40592536556426667,0.46587199913828,0.9086,0.9073,"{'cloudy': 0.897, 'rainy': 0.884, 'snowy': 0.9365, 'sunny': 0.917}",9.824122416519163e-05
5,0.38007649225120976,0.47794383316111744,0.9006,0.9013,"{'cloudy': 0.8875, 'rainy': 0.8864, 'snowy': 0.9128, 'sunny': 0.9156}",9.726112003459197e-05
6,0.35991742449195835,0.5155326578401982,0.8908,0.8874,"{'cloudy': 0.8669, 'rainy': 0.8705, 'snowy': 0.9241, 'sunny': 0.9017}",9.607216939048322e-05
7,0.34049989121914814,0.4964735232349625,0.9065,0.9077,"{'cloudy': 0.8971, 'rainy': 0.8824, 'snowy': 0.9262, 'sunny': 0.9202}",9.467968237506411e-05
8,0.3333736899568641,0.5030230039492586,0.9063,0.9032,"{'cloudy': 0.8917, 'rainy': 0.8851, 'snowy': 0.9364, 'sunny': 0.9122}",9.308987817337689e-05
9,0.3187530482403467,0.5317348067025492,0.8987,0.8954,"{'cloudy': 0.8812, 'rainy': 0.8773, 'snowy': 0.9301, 'sunny': 0.906}",9.130985723691713e-05
10,0.30651287697750434,0.5282121116953685,0.898,0.8924,"{'cloudy': 0.8728, 'rainy': 0.8854, 'snowy': 0.93, 'sunny': 0.9039}",8.93475695712937e-05
11,0.30296411895435266,0.5382684216015321,0.9054,0.9023,"{'cloudy': 0.8872, 'rainy': 0.8862, 'snowy': 0.9345, 'sunny': 0.9136}",8.72117792295739e-05
12,0.29333113425144436,0.5604738797012129,0.8956,0.8959,"{'cloudy': 0.8812, 'rainy': 0.8686, 'snowy': 0.9206, 'sunny': 0.9119}",8.491202516989479e-05
13,0.29289516246748604,0.5582884709189709,0.8985,0.894,"{'cloudy': 0.877, 'rainy': 0.8831, 'snowy': 0.9288, 'sunny': 0.905}",8.245857865216071e-05
14,0.2852335595994113,0.5531762560507408,0.902,0.9004,"{'cloudy': 0.8865, 'rainy': 0.8732, 'snowy': 0.9348, 'sunny': 0.9133}",7.986239736410308e-05
