epoch,train_loss,val_loss,val_macro_f1,val_accuracy,per_class_f1,lr
0,0.611198789706945,0.5045435260561176,0.8843,0.8867,"{'cloudy': 0.8707, 'rainy': 0.8615, 'snowy': 0.9018, 'sunny': 0.9033}",0.0001
1,0.49547584244603227,0.46602251207021844,0.9035,0.9028,"{'cloudy': 0.8874, 'rainy': 0.8823, 'snowy': 0.9277, 'sunny': 0.9164}",9.988946049184609e-05
2,0.45972782548736124,0.5221450671665651,0.8825,0.8694,"{'cloudy': 0.8348, 'rainy': 0.8916, 'snowy': 0.9235, 'sunny': 0.8802}",9.955833566366162e-05
3,0.4343111597609475,0.4744586189438526,0.8866,0.8966,"{'cloudy': 0.888, 'rainy': 0.8571, 'snowy': 0.8829, 'sunny': 0.9181}",9.900810439931104e-05
4,0.4039166802699471,0.4870015936238425,0.8999,0.8971,"{'cloudy': 0.8851, 'rainy': 0.88, 'snowy': 0.9273, 'sunny': 0.9072}",9.824122416519163e-05
5,0.3791417334744781,0.48449100318707916,0.9057,0.9051,"{'cloudy': 0.8883, 'rainy': 0.8766, 'snowy': 0.9364, 'sunny': 0.9217}",9.726112003459197e-05
6,0.35844244733028663,0.4875938746714054,0.9055,0.904,"{'cloudy': 0.8907, 'rainy': 0.8844, 'snowy': 0.9311, 'sunny': 0.9158}",9.607216939048322e-05
7,0.3434424342082167,0.5072599109402276,0.9005,0.8976,"{'cloudy': 0.8811, 'rainy': 0.8759, 'snowy': 0.9342, 'sunny': 0.9108}",9.467968237506411e-05
8,0.3288386034897654,0.5073829954279993,0.9032,0.8971,"{'cloudy': 0.88, 'rainy': 0.8879, 'snowy': 0.9388, 'sunny': 0.906}",9.308987817337689e-05
9,0.31606889031191254,0.5069410218332047,0.9051,0.9018,"{'cloudy': 0.8872, 'rainy': 0.8787, 'snowy': 0.9415, 'sunny': 0.913}",9.130985723691713e-05
10,0.3059923224702506,0.5251239047462779,0.8943,0.895,"{'cloudy': 0.8786, 'rainy': 0.8735, 'snowy': 0.9137, 'sunny': 0.9112}",8.93475695712937e-05
11,0.2989564274474837,0.5274877368955684,0.9022,0.898,"{'cloudy': 0.8818, 'rainy': 0.886, 'snowy': 0.9314, 'sunny': 0.9095}",8.72117792295739e-05
12,0.29326764580420794,0.5418776262523537,0.9027,0.8976,"{'cloudy': 0.8824, 'rainy': 0.8898, 'snowy': 0.9316, 'sunny': 0.9068}",8.491202516989479e-05
13,0.28720896418225833,0.5777279210269899,0.898,0.8919,"{'cloudy': 0.8726, 'rainy': 0.8849, 'snowy': 0.9325, 'sunny': 0.9019}",8.245857865216071e-05
14,0.2866657931053661,0.5478235164979347,0.9027,0.8966,"{'cloudy': 0.876, 'rainy': 0.8922, 'snowy': 0.9342, 'sunny': 0.9083}",7.986239736410308e-05
15,0.2841563969567786,0.5790775348817495,0.8925,0.8872,"{'cloudy': 0.8661, 'rainy': 0.8764, 'snowy': 0.9273, 'sunny': 0.8999}",7.713507648158695e-05
