epoch,train_loss,val_loss,val_macro_f1,val_accuracy,per_class_f1,lr
0,0.4709570513758985,0.3195356336646342,0.869,0.8827,"{'cloudy': 0.8796, 'rainy': 0.8432, 'snowy': 0.8497, 'sunny': 0.9035}",0.0001
1,0.31267156005188457,0.26136663442134467,0.9036,0.9063,"{'cloudy': 0.8956, 'rainy': 0.8728, 'snowy': 0.9254, 'sunny': 0.9207}",9.988946049184609e-05
2,0.26825691961048903,0.31754537910324543,0.8868,0.8831,"{'cloudy': 0.8593, 'rainy': 0.8717, 'snowy': 0.9174, 'sunny': 0.8987}",9.955833566366162e-05
3,0.23652778088028562,0.2748303805728254,0.8998,0.9042,"{'cloudy': 0.8952, 'rainy': 0.8845, 'snowy': 0.9006, 'sunny': 0.9188}",9.900810439931104e-05
4,0.19600936877885852,0.3254634818522596,0.8939,0.8919,"{'cloudy': 0.8824, 'rainy': 0.8645, 'snowy': 0.9279, 'sunny': 0.9009}",9.824122416519163e-05
5,0.16107546676664244,0.32018159357233145,0.9046,0.9028,"{'cloudy': 0.8888, 'rainy': 0.8896, 'snowy': 0.9262, 'sunny': 0.914}",9.726112003459197e-05
6,0.1383107562727901,0.32946855257901725,0.9017,0.9002,"{'cloudy': 0.8895, 'rainy': 0.88, 'snowy': 0.927, 'sunny': 0.9101}",9.607216939048322e-05
7,0.11997287430618474,0.37494406100700817,0.8992,0.9004,"{'cloudy': 0.8882, 'rainy': 0.8745, 'snowy': 0.9185, 'sunny': 0.9154}",9.467968237506411e-05
8,0.1031626406032062,0.38515482969686965,0.9004,0.8966,"{'cloudy': 0.8801, 'rainy': 0.8843, 'snowy': 0.929, 'sunny': 0.9081}",9.308987817337689e-05
9,0.08969706486366279,0.4866367462470488,0.8939,0.8952,"{'cloudy': 0.8873, 'rainy': 0.871, 'snowy': 0.9108, 'sunny': 0.9067}",9.130985723691713e-05
10,0.07758280588225576,0.53866488683142,0.8933,0.8909,"{'cloudy': 0.8767, 'rainy': 0.8816, 'snowy': 0.9133, 'sunny': 0.9015}",8.93475695712937e-05
11,0.06873236614256475,0.5747172796702013,0.8905,0.8831,"{'cloudy': 0.8629, 'rainy': 0.8828, 'snowy': 0.9237, 'sunny': 0.8926}",8.72117792295739e-05
