epoch,train_loss,val_loss,val_macro_f1,val_accuracy,per_class_f1,lr
0,0.6267700680664607,1.3197906898415608,0.2005,0.3748,"{'cloudy': 0.0914, 'rainy': 0.0, 'snowy': 0.1679, 'sunny': 0.5428}",0.0001
1,0.30207615586973374,1.2297639017519744,0.2758,0.4564,"{'cloudy': 0.2995, 'rainy': 0.0, 'snowy': 0.2169, 'sunny': 0.5866}",9.988946049184609e-05
2,0.2245899233080092,1.117828351000081,0.4039,0.5878,"{'cloudy': 0.5581, 'rainy': 0.0588, 'snowy': 0.32, 'sunny': 0.6785}",9.955833566366162e-05
3,0.16243152132346517,0.9854224894357764,0.5251,0.6999,"{'cloudy': 0.7113, 'rainy': 0.1667, 'snowy': 0.45, 'sunny': 0.7725}",9.900810439931104e-05
4,0.12581574249835242,0.8391107994577159,0.6581,0.7718,"{'cloudy': 0.7765, 'rainy': 0.3704, 'snowy': 0.6522, 'sunny': 0.8333}",9.824122416519163e-05
5,0.1017344322232973,0.6933128768983094,0.7536,0.823,"{'cloudy': 0.816, 'rainy': 0.5652, 'snowy': 0.7551, 'sunny': 0.878}",9.726112003459197e-05
6,0.09215964355639049,0.5632445889970531,0.8044,0.852,"{'cloudy': 0.8418, 'rainy': 0.66, 'snowy': 0.8155, 'sunny': 0.9002}",9.607216939048322e-05
7,0.08828489432732264,0.4489698325810225,0.8412,0.8755,"{'cloudy': 0.8644, 'rainy': 0.7238, 'snowy': 0.8598, 'sunny': 0.9167}",9.467968237506411e-05
8,0.07941132301375979,0.3534091105279715,0.8713,0.899,"{'cloudy': 0.8913, 'rainy': 0.7706, 'snowy': 0.8909, 'sunny': 0.9324}",9.308987817337689e-05
9,0.05605634046452386,0.28054692741969356,0.8947,0.9129,"{'cloudy': 0.9065, 'rainy': 0.8246, 'snowy': 0.9107, 'sunny': 0.9372}",9.130985723691713e-05
10,0.04369875561623346,0.22920776093783585,0.9019,0.917,"{'cloudy': 0.9111, 'rainy': 0.8376, 'snowy': 0.9204, 'sunny': 0.9386}",8.93475695712937e-05
11,0.034510599041268936,0.1964650084062115,0.9186,0.9281,"{'cloudy': 0.9233, 'rainy': 0.8595, 'snowy': 0.9483, 'sunny': 0.9434}",8.72117792295739e-05
12,0.033896427991844356,0.17485232539879886,0.9301,0.9378,"{'cloudy': 0.9344, 'rainy': 0.878, 'snowy': 0.958, 'sunny': 0.9499}",8.491202516989479e-05
13,0.023189590622981388,0.16514338208261228,0.9295,0.9364,"{'cloudy': 0.9314, 'rainy': 0.8871, 'snowy': 0.95, 'sunny': 0.9496}",8.245857865216071e-05
14,0.0225431002676487,0.16616617135055686,0.9285,0.9364,"{'cloudy': 0.9329, 'rainy': 0.8819, 'snowy': 0.95, 'sunny': 0.9494}",7.986239736410308e-05
15,0.024156451047885986,0.17339006661622197,0.9294,0.9391,"{'cloudy': 0.9344, 'rainy': 0.8769, 'snowy': 0.95, 'sunny': 0.9562}",7.713507648158695e-05
16,0.025581833188022887,0.1814637563666506,0.9263,0.9391,"{'cloudy': 0.9376, 'rainy': 0.8769, 'snowy': 0.9344, 'sunny': 0.9561}",7.428879688174084e-05
17,0.017382742854810895,0.19672380639365103,0.9341,0.9419,"{'cloudy': 0.9393, 'rainy': 0.9008, 'snowy': 0.9421, 'sunny': 0.9542}",7.133627074020258e-05
18,0.0077343828266575225,0.2132768596731852,0.9326,0.9419,"{'cloudy': 0.9393, 'rainy': 0.9008, 'snowy': 0.9344, 'sunny': 0.9559}",6.829068475545687e-05
19,0.0056092913306894756,0.2284631040934518,0.9315,0.9405,"{'cloudy': 0.938, 'rainy': 0.9008, 'snowy': 0.9333, 'sunny': 0.9541}",6.516564125383888e-05
20,0.014557011460974103,0.24482621889459621,0.9367,0.9433,"{'cloudy': 0.941, 'rainy': 0.9008, 'snowy': 0.9508, 'sunny': 0.9541}",6.197509743824264e-05
21,0.014716618046874092,0.26420364166885074,0.9375,0.9447,"{'cloudy': 0.9425, 'rainy': 0.9008, 'snowy': 0.9508, 'sunny': 0.9559}",5.873330305186492e-05
22,0.007281081662291572,0.28368725814367624,0.9341,0.9419,"{'cloudy': 0.9393, 'rainy': 0.9008, 'snowy': 0.9421, 'sunny': 0.9542}",5.545473673539287e-05
23,0.00596604599129586,0.3049000552160134,0.9345,0.9419,"{'cloudy': 0.9376, 'rainy': 0.9023, 'snowy': 0.9421, 'sunny': 0.9559}",5.2154041361879886e-05
24,0.011001624308881306,0.32377913588382057,0.9321,0.9405,"{'cloudy': 0.9359, 'rainy': 0.9023, 'snowy': 0.9344, 'sunny': 0.9559}",4.884595863812011e-05
25,0.0023582321547326586,0.34086197742148433,0.9309,0.9405,"{'cloudy': 0.9359, 'rainy': 0.8955, 'snowy': 0.9344, 'sunny': 0.9576}",4.554526326460713e-05
26,0.0028659728666146594,0.36478662826403885,0.9309,0.9405,"{'cloudy': 0.9359, 'rainy': 0.8955, 'snowy': 0.9344, 'sunny': 0.9576}",4.226669694813506e-05
27,0.0053862023566450395,0.3884920562466025,0.9341,0.9433,"{'cloudy': 0.9391, 'rainy': 0.9037, 'snowy': 0.9344, 'sunny': 0.9593}",3.902490256175736e-05
28,0.000286977489789327,0.4090856850689158,0.9324,0.9405,"{'cloudy': 0.9357, 'rainy': 0.9037, 'snowy': 0.9344, 'sunny': 0.9559}",3.5834358746161124e-05
29,0.003146203252531233,0.4291665058733728,0.9316,0.9391,"{'cloudy': 0.934, 'rainy': 0.9037, 'snowy': 0.9344, 'sunny': 0.9542}",3.270931524454311e-05
30,0.0006198705307074955,0.44979769034267497,0.9299,0.9364,"{'cloudy': 0.9308, 'rainy': 0.9037, 'snowy': 0.9344, 'sunny': 0.9507}",2.9663729259797427e-05
